"選區(95-100年)","議員","年","建議筆數","建議金額(單位：千元)","顧別人建議金額(千元)","顧別人人均建議金額(千元)","族群別","性別","政黨","族群","委員會召集人","委員會副召集人","召集人","委員會召集人類別","縣長、議員與鄉鎮市首長選舉年","勝選幅度DQ","選區規模","選區類型","人口數","政治獻金金額 (單位：千元)","資深程度","自由財源","自由財源比","代表性 （單位：千）","所屬選區鄉鎮市","利益座落地點（鄉鎮市）"
"臺東縣第四選區","林惠就",95,5,741,100,100,"漢族",0,1,0,0,0,0,0,0,1.161023055,3,2,31382,707.2,2,12.1084577,0.121084577,0.01,"鹿野鄉、關山鎮、海端鄉及池上鄉","N/A"
"臺東縣第一選區","陳顯興",95,1,85,148,148,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","陳顯興",95,1,85,185,185,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","陳顯興",95,1,85,99,99,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","陳顯興",95,1,85,98,98,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
"臺東縣第一選區","黃秋",95,5,486,95,95,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","黃秋",95,5,486,200,200,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","黃秋",95,5,486,50,50,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","張國洲",95,1,95,200,200,"漢族",1,0,0,1,0,1,5,0,1.155632411,10,2,116401,730,1,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","李建智",95,4,355,30,30,"漢族",1,1,0,0,1,1,5,0,0.9844367589,10,2,116401,30,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
"臺東縣第一選區","李建智",95,4,355,100,100,"漢族",1,1,0,0,1,1,5,0,0.9844367589,10,2,116401,30,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","李建智",95,4,355,100,100,"漢族",1,1,0,0,1,1,5,0,0.9844367589,10,2,116401,30,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","謝明珠",95,4,630,100,100,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","謝明珠",95,4,630,99,99,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","謝明珠",95,4,630,100,100,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","田石雄",95,3,680,100,100,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","田石雄",95,3,680,100,100,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","饒慶鈴",95,2,545,100,100,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","饒慶鈴",95,2,545,80,80,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","大武鄉"
"臺東縣第一選區","饒慶鈴",95,2,545,80,80,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,26.24353823,0.2624353823,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第十四選區","江多利",96,0,0,100,98.2,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,5097,0,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","達仁鄉"
"臺東縣第十四選區","江多利",96,0,0,176,172.83,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,5097,0,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","達仁鄉"
"臺東縣第十三選區","朱連濟",96,2,982.02,100,98.2,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3728,0,2,4.001054134,0.04001054134,0,"大武鄉、達仁鄉","東河鄉"
"臺東縣第十三選區","朱連濟",96,2,982.02,300,294.61,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3728,0,2,4.001054134,0.04001054134,0,"大武鄉、達仁鄉","金峰鄉"
"臺東縣第十三選區","朱連濟",96,2,982.02,300,294.61,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3728,0,2,4.001054134,0.04001054134,0,"大武鄉、達仁鄉","金峰鄉"
"臺東縣第十選區","胡秋金",96,5,1558.46,300,294.61,"布農族",1,1,2,0,0,0,0,0,1.147186147,1,5,3946,0,0,11.4521206,0.114521206,0.01,"成功鎮、卑南鄉、東河鄉、長濱鄉、延平鄉","關山鎮"
"臺東縣第六選區","王清堅",96,2,196.4,100,98.2,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","關山鎮"
"臺東縣第六選區","王清堅",96,2,196.4,100,98.2,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","關山鎮"
"臺東縣第六選區","王清堅",96,2,196.4,99,97.22,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","東河鄉"
"臺東縣第六選區","王清堅",96,2,196.4,50,49.1,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","太麻里鄉"
"臺東縣第六選區","王清堅",96,2,196.4,500,491.01,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","卑南鄉"
"臺東縣第六選區","王清堅",96,2,196.4,100,98.2,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18183,0,2,65.70131723,0.6570131723,0.07,"台東市","成功鎮"
"臺東縣第六選區","洪玫璉",96,2,471.37,400,392.81,"卑南族",0,1,1,0,0,0,0,0,0.6902530459,2,4,18183,0,1,65.70131723,0.6570131723,0.07,"台東市","長濱鄉"
"臺東縣第五選區","李錦慧",96,7,2092.68,90,88.38,"漢族",1,1,0,1,0,1,6,0,1.364287096,1,1,26097,1086,3,5.793332339,0.05793332339,0.01,"太麻里鄉、大武鄉、金峰鄉、達仁鄉","東河鄉"
"臺東縣第四選區","李振源",96,6,1753.88,200,196.4,"漢族",1,0,0,0,0,0,0,0,0.7463976945,3,2,31382,0,3,12.36748551,0.1236748551,0.01,"關山鎮、鹿野鄉、池上鄉、海端鄉","成功鎮"
"臺東縣第四選區","張茂益",96,18,3441.97,100,98.2,"漢族",1,1,0,0,0,0,0,0,1.098342939,3,2,31382,11.8,2,12.36748551,0.1236748551,0.01,"關山鎮、鹿野鄉、池上鄉、海端鄉","東河鄉"
"臺東縣第三選區","張順貴",96,22,2736.88,150,147.3,"漢族",1,1,0,0,1,1,4,0,1.142997889,2,2,32795,208,2,12.09637138,0.1209637138,0.01,"成功鎮、東河鄉、長濱鄉","卑南鄉"
"臺東縣第三選區","許進榮",96,16,1790.22,300,294.61,"漢族",1,0,0,0,0,0,0,0,0.9665024631,2,2,32795,0,0,12.09637138,0.1209637138,0.01,"成功鎮、東河鄉、長濱鄉","關山鎮"
"臺東縣第一選區","陳顯興",96,0,0,100,98.2,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","賴嘉祥",96,2,481.19,200,196.4,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","賴嘉祥",96,2,481.19,40,39.28,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","賴嘉祥",96,2,481.19,95,93.29,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","賴嘉祥",96,2,481.19,300,294.61,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","賴嘉祥",96,2,481.19,250,245.5,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","賴嘉祥",96,2,481.19,96,94.27,"漢族",1,0,0,1,0,1,2,0,0.6427865613,10,2,116401,694.25,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","延平鄉"
"臺東縣第一選區","王飛龍",96,1,98.2,300,294.61,"漢族",1,0,0,0,1,1,3,0,0.663784585,10,2,116401,237.2,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
"臺東縣第一選區","王飛龍",96,1,98.2,50,49.1,"漢族",1,0,0,0,1,1,3,0,0.663784585,10,2,116401,237.2,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","王飛龍",96,1,98.2,120,117.84,"漢族",1,0,0,0,1,1,3,0,0.663784585,10,2,116401,237.2,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","黃秋",96,0,0,95,93.29,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","長濱鄉、池上鄉"
"臺東縣第一選區","黃秋",96,0,0,150,147.3,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","黃秋",96,0,0,100,98.2,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","黃秋",96,0,0,49,48.12,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","黃秋",96,0,0,100,98.2,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","張國洲",96,2,137.48,150,147.3,"漢族",1,0,0,1,0,1,5,0,1.155632411,10,2,116401,730,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","張國洲",96,2,137.48,90,88.38,"漢族",1,0,0,1,0,1,5,0,1.155632411,10,2,116401,730,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","鹿野鄉"
"臺東縣第一選區","張國洲",96,2,137.48,200,196.4,"漢族",1,0,0,1,0,1,5,0,1.155632411,10,2,116401,730,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","李建智",96,8,374.15,100,98.2,"漢族",1,1,0,0,1,1,5,0,0.9844367589,10,2,116401,30,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","成功鎮"
"臺東縣第一選區","施向青",96,1,94.27,150,147.3,"漢族",1,1,0,0,1,1,2,0,0.7529644269,10,2,116401,440,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","施向青",96,1,94.27,96,94.27,"漢族",1,1,0,0,1,1,2,0,0.7529644269,10,2,116401,440,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
"臺東縣第一選區","謝明珠",96,2,196.4,150,147.3,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","卑南鄉"
"臺東縣第一選區","謝明珠",96,2,196.4,100,98.2,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第一選區","謝明珠",96,2,196.4,2000,1964.03,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
"臺東縣第一選區","田石雄",96,5,1037.99,95,93.29,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","成功鎮"
"臺東縣第一選區","田石雄",96,5,1037.99,50,49.1,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","成功鎮"
"臺東縣第一選區","田石雄",96,5,1037.99,200,196.4,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","關山鎮"
"臺東縣第一選區","田石雄",96,5,1037.99,200,196.4,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","成功鎮"
"臺東縣第一選區","饒慶鈴",96,6,510.65,100,98.2,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","鹿野鄉"
"臺東縣第一選區","饒慶鈴",96,6,510.65,95,93.29,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","成功鎮"
"臺東縣第一選區","饒慶鈴",96,6,510.65,100,98.2,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,25.85514858,0.2585514858,0.03,"台東市、蘭嶼鄉、綠島鄉","東河鄉"
"臺東縣第十四選區","江多利",97,1,94.61,100,94.61,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,5268,0,1,24.64202548,0.2464202548,0.02,"蘭嶼鄉、台東市、綠島鄉","太麻里鄉"
"臺東縣第十四選區","江多利",97,1,94.61,99,93.67,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,5268,0,1,24.64202548,0.2464202548,0.02,"蘭嶼鄉、台東市、綠島鄉","台東市"
"臺東縣第十三選區","朱連濟",97,2,1248.87,99,93.67,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3720,0,2,2.880952755,0.02880952755,0,"達仁鄉、大武鄉","台東市"
"臺東縣第十三選區","朱連濟",97,2,1248.87,300,283.84,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3720,0,2,2.880952755,0.02880952755,0,"達仁鄉、大武鄉","金峰鄉"
"臺東縣第十選區","胡秋金",97,15,2931.07,200,189.22,"布農族",1,1,2,0,0,0,0,0,1.147186147,1,5,3931,0,0,11.21501447,0.1121501447,0.01,"延平鄉、卑南鄉、東河鄉、成功鎮、長濱鄉","關山鎮"
"臺東縣第十選區","胡秋金",97,15,2931.07,50,47.31,"布農族",1,1,2,0,0,0,0,0,1.147186147,1,5,3931,0,0,11.21501447,0.1121501447,0.01,"延平鄉、卑南鄉、東河鄉、成功鎮、長濱鄉","關山鎮"
"臺東縣第九選區","林富雄",97,10,861.91,200,189.22,"阿美族",1,0,1,0,0,0,0,0,0.7649467649,3,4,18552,0,2,13.78223148,0.1378223148,0.01,"東河鄉、綠島鄉、成功鎮、及長濱鄉","關山鎮"
"臺東縣第九選區","嚴亞美",97,15,1953.73,150,141.92,"阿美族",0,1,1,0,0,0,0,0,1.028665029,3,4,18552,114.02,1,13.78223148,0.1378223148,0.01,"東河鄉、綠島鄉、成功鎮、及長濱鄉","太麻里鄉"
"臺東縣第九選區","嚴亞美",97,15,1953.73,20,18.92,"阿美族",0,1,1,0,0,0,0,0,1.028665029,3,4,18552,114.02,1,13.78223148,0.1378223148,0.01,"東河鄉、綠島鄉、成功鎮、及長濱鄉","太麻里鄉"
"臺東縣第七選區","江堅壽",97,3,2644.4,120,113.53,"卑南族",1,1,1,1,0,1,1,0,0.7295095063,2,4,14211,2210.05,1,7.450608586,0.07450608586,0.01,"卑南鄉、太麻里鄉、金峰鄉、達仁鄉、大武鄉、蘭嶼鄉","台東市"
"臺東縣第七選區","蔡義勇",97,1,264.91,200,189.22,"排灣族",1,0,1,0,0,0,0,0,0.7970921873,2,4,14211,110,2,7.450608586,0.07450608586,0.01,"卑南鄉、太麻里鄉、金峰鄉、達仁鄉、大武鄉、蘭嶼鄉","關山鎮"
"臺東縣第六選區","洪玫璉",97,6,851.51,500,473.06,"卑南族",0,1,1,0,0,0,0,0,0.6902530459,2,4,18296,0,1,64.11617341,0.6411617341,0.06,"台東市","卑南鄉"
"臺東縣第五選區","李錦慧",97,5,777.71,100,94.61,"漢族",1,1,0,1,0,1,6,0,1.364287096,1,1,26097,1086,3,5.528233048,0.05528233048,0.01,"太麻里鄉、金峰鄉、達仁鄉、大武鄉","關山鎮"
"臺東縣第五選區","李錦慧",97,5,777.71,100,94.61,"漢族",1,1,0,1,0,1,6,0,1.364287096,1,1,26097,1086,3,5.528233048,0.05528233048,0.01,"太麻里鄉、金峰鄉、達仁鄉、大武鄉","關山鎮"
"臺東縣第五選區","李錦慧",97,5,777.71,95,89.88,"漢族",1,1,0,1,0,1,6,0,1.364287096,1,1,26097,1086,3,5.528233048,0.05528233048,0.01,"太麻里鄉、金峰鄉、達仁鄉、大武鄉","成功鎮"
"臺東縣第四選區","張茂益",97,14,3008.65,99,93.67,"漢族",1,1,0,0,0,0,0,0,1.098342939,3,2,31382,11.8,2,12.36472993,0.1236472993,0.01,"鹿野鄉、關山鎮、海端鄉及池上鄉","東河鄉"
"臺東縣第三選區","許進榮",97,19,1825.06,350,331.14,"漢族",1,0,0,0,0,0,0,0,0.9665024631,2,2,32795,0,0,11.37224139,0.1137224139,0.01,"東河鄉、成功鎮及長濱鄉","關山鎮"
"臺東縣第一選區","陳顯興",97,1,189.22,200,189.22,"漢族",1,1,0,1,0,1,4,0,0.6711956522,10,2,116401,1100,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","成功鎮"
"臺東縣第一選區","賴嘉祥",97,17,1492.19,200,189.22,"漢族",1,0,0,1,0,1,2,1,0.6427865613,10,2,116401,694.25,1,22.33086537,0.2233086537,0.02,"台東市、蘭嶼鄉及綠島","關山鎮"
"臺東縣第一選區","賴嘉祥",97,17,1492.19,53,50.14,"漢族",1,0,0,1,0,1,2,1,0.6427865613,10,2,116401,694.25,1,22.33086537,0.2233086537,0.02,"台東市、蘭嶼鄉及綠島","卑南鄉"
"臺東縣第一選區","王飛龍",97,1,90.83,150,141.92,"漢族",1,0,0,0,1,1,3,0,0.663784585,10,2,116401,237.2,1,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","關山鎮"
"臺東縣第一選區","黃秋",97,2,406.83,95,89.88,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","黃秋",97,2,406.83,150,141.92,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","關山鎮"
"臺東縣第一選區","黃秋",97,2,406.83,95,89.88,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","黃秋",97,2,406.83,50,47.31,"漢族",0,0,0,1,0,1,3,0,0.8189229249,10,2,116401,336.5,4,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","張國洲",97,6,565.78,250,236.53,"漢族",1,0,0,1,0,1,5,0,1.155632411,10,2,116401,730,1,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","關山鎮"
"臺東縣第一選區","李建智",97,15,2281.09,50,47.31,"漢族",1,1,0,0,1,1,5,0,0.9844367589,10,2,116401,30,0,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","謝明珠",97,3,217.61,100,94.61,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","謝明珠",97,3,217.61,170,160.84,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","謝明珠",97,3,217.61,800,756.89,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","成功鎮"
"臺東縣第一選區","謝明珠",97,3,217.61,150,141.92,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","長濱鄉"
"臺東縣第一選區","謝明珠",97,3,217.61,150,141.92,"漢族",0,0,0,0,0,0,0,0,0.8653656126,10,2,116401,0,2,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","卑南鄉"
"臺東縣第一選區","田石雄",97,3,1177.92,100,94.61,"漢族",1,0,0,0,0,0,0,0,0.7359189723,10,2,116401,43.6,1,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","成功鎮"
"臺東縣第一選區","饒慶鈴",97,7,3336.95,100,94.61,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","東河鄉"
"臺東縣第一選區","饒慶鈴",97,7,3336.95,200,189.22,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","太麻里鄉"
"臺東縣第一選區","饒慶鈴",97,7,3336.95,500,473.06,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","鹿野鄉"
"臺東縣第一選區","饒慶鈴",97,7,3336.95,120,113.53,"漢族",0,1,0,0,1,1,6,0,0.7519762846,10,2,116401,0,0,24.64202548,0.2464202548,0.02,"台東市、蘭嶼鄉及綠島","達仁鄉、大武鄉"
"臺東縣第一選區","王飛龍",98,35,4321.81,680,649.61,"漢族",1,0,0,0,1,1,3,1,0.663784585,10,2,116401,237.2,1,22.33086537,0.2233086537,0.02,"台東市、蘭嶼鄉、綠島鄉","臺東市、卑南鄉、太麻里鄉"
"臺東縣第一選區","王飛龍",98,35,4321.81,45,42.99,"漢族",1,0,0,0,1,1,3,1,0.663784585,10,2,116401,237.2,1,22.33086537,0.2233086537,0.02,"台東市、蘭嶼鄉、綠島鄉","太麻里鄉"
